Price Date,Open Price,High Price,Low Price,Close Price,Trade Value,Number Of Trades,Traded Quantity
09-06-2025,1579,1587.9,1570.1,1572.55,461092511,13135,292314
06-06-2025,1553.3,1568,1543.7,1564.05,481849939,13482,310045
05-06-2025,1552,1567.45,1542.4,1554.35,272546465,7307,175186
04-06-2025,1542.3,1557,1542,1551.25,74323965,2722,47951
03-06-2025,1561.8,1566.7,1535.35,1542.35,1838514520,44376,1190530
02-06-2025,1562,1562,1538.75,1554.2,524465355,16190,338024
30-05-2025,1569,1570.75,1555.1,1562.8,566074953,8992,361932
29-05-2025,1585,1609,1577,1585.4,659457418,13154,413916
28-05-2025,1574.05,1587,1570.05,1572.05,351398848,7203,222802
27-05-2025,1578.25,1582.8,1556.2,1570.5,1503549427,32264,959158
26-05-2025,1569.95,1583.75,1562.35,1580.4,341843624,6668,216608
23-05-2025,1550,1586.5,1549.25,1564.5,517638781,11155,328344
22-05-2025,1562,1562,1540.05,1549.2,572791345,12874,369151
21-05-2025,1561.65,1570,1552.15,1568.1,239782345,5664,153101
20-05-2025,1567,1583,1558.3,1560.4,502839787,14747,320816
19-05-2025,1583.95,1583.95,1555,1559.15,630425341,11775,402469
16-05-2025,1614.2,1614.2,1581.3,1589.75,366416565,12414,230333
15-05-2025,1592.35,1618.85,1571.2,1613.25,531537861,16918,332079
14-05-2025,1575,1594.15,1570,1592.6,312403575,9233,196636
13-05-2025,1619.6,1619.6,1564.95,1569.1,687154203,13547,435421
12-05-2025,1535.25,1632,1534.05,1626.7,478657076,10553,302933
09-05-2025,1491.2,1511,1491.2,1507.45,114112307,3131,75913
08-05-2025,1509.95,1516.4,1501.35,1511.25,257206048,7751,170453
07-05-2025,1501.3,1518.75,1495.05,1508.5,164875603,3869,109324
06-05-2025,1509,1515.5,1499.1,1511.3,143313270,3665,94902
05-05-2025,1507.35,1522.45,1502.75,1507.7,159808086,3653,105684
02-05-2025,1504.95,1523.7,1496.4,1506.45,140332645,5510,92930
30-04-2025,1497.4,1508,1486,1498.9,178968923,4233,119269
29-04-2025,1482.2,1509.6,1474.5,1497.4,594391685,19745,398565
28-04-2025,1483,1488.7,1465.3,1482.2,786804065,19955,532448
25-04-2025,1474.1,1501.5,1464,1480.2,350489612,8768,236153
24-04-2025,1474.75,1483,1461.15,1471.3,263680371,5968,179407
23-04-2025,1447.35,1487.85,1441.55,1474.85,485341810,9413,329800
22-04-2025,1448.95,1448.95,1419.6,1422.4,558423947,12926,391747
21-04-2025,1409,1471.5,1409,1450.45,859552400,20729,592543
17-04-2025,1404.85,1429.4,1378.6,1420.2,1077053703,23993,771330
16-04-2025,1429.95,1429.95,1396.95,1413,487231639,18364,345038
15-04-2025,1440.4,1447,1409.1,1427.25,545823438,16746,383484
11-04-2025,1414.65,1438.55,1397.65,1410.6,701244464,18110,493400
09-04-2025,1408.2,1408.2,1381.35,1404.2,366900187,16382,263142
08-04-2025,1427,1456.5,1415,1429.3,597687595,18641,415932
07-04-2025,1350,1406.85,1307.1,1397.8,1430751864,50183,1050658
04-04-2025,1466.95,1472,1448,1452.3,515947248,25682,353376
03-04-2025,1522.9,1530,1485.1,1497,440072735,14229,293518
02-04-2025,1531.5,1555.5,1531.5,1549.85,211712087,7745,136844
01-04-2025,1535.1,1547.7,1518,1527.5,406206382,13575,265555
28-03-2025,1594.95,1597.8,1565.05,1570.4,361684916,15363,229420
27-03-2025,1595.6,1620,1586.4,1603.55,254308505,7952,158837
26-03-2025,1630,1637.8,1595,1598.15,216724003,8644,134262
25-03-2025,1603,1635.9,1603,1631.7,378344239,10509,232600
24-03-2025,1598.3,1606.55,1572.55,1592.2,435871395,16450,274520
21-03-2025,1580,1603.55,1564.15,1592.6,146079971,6399,91843
20-03-2025,1592.95,1631,1592.95,1614.15,250868120,9060,155196
